resource,duration_ms,run,n_samples,median,p95,p99,mean,gt1_1,gt1_2,gt1_5,max
Memory,5,experiment0_5ms_run4.csv,9,0.9601556847095732,1.3116937791861631,1.442897761534753,1.0237816455616155,0.1111111111111111,0.1111111111111111,0.0,1.4756987571219005
Memory,5,experiment0_5ms_run4.csv,100,0.9999459236619265,1.0380062384611248,1.0449435326575813,0.990699602520838,0.0,0.0,0.0,1.04665625625075
Memory,25,experiment0_25ms_run4.csv,41,0.9602763358230534,1.6787565343354451,1.7730570261831002,1.0249378864181504,0.07317073170731707,0.07317073170731707,0.07317073170731707,1.7875647445984981
Memory,25,experiment0_25ms_run4.csv,100,0.99827287074646,1.0365258702165103,1.0504490301954064,0.9965560540775126,0.0,0.0,0.0,1.086355841994781
Memory,5,experiment0_5ms_run1.csv,7,0.9652795425529318,1.4680104289069011,1.5999772796044758,1.0772804941510394,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.6329689922788697
Memory,5,experiment0_5ms_run1.csv,100,1.0000235649207414,1.035067404140996,1.0517629296039286,0.9968263038100811,0.0,0.0,0.0,1.08924394697157
L2,100,l2_100ms_r1.csv,80,2.0321709979086338,2.389549871446801,2.8032214055638383,2.0985857687735914,1.0,1.0,1.0,2.815502457383378
L2,100,l2_100ms_r1.csv,100,1.0010255814480757,1.0468315095116854,1.051944262678034,1.002513773822118,0.0,0.0,0.0,1.0536543051887455
Memory,10,experiment0_10ms_run1.csv,16,0.9726023673510126,1.5362108191523882,1.5455395211838854,1.050557434346318,0.125,0.125,0.125,1.5478716966917596
Memory,10,experiment0_10ms_run1.csv,100,1.0011337161623652,1.0383350847685062,1.041738355998406,0.9986180051730911,0.0,0.0,0.0,1.0451589027167822
Memory,100,experiment0_100ms_run1.csv,100,0.9755820882854889,1.4540782714942657,1.7698312867978319,1.027406584120294,0.09,0.08,0.04,1.7728238064087192
Memory,100,experiment0_100ms_run1.csv,100,1.000519477923366,1.0354318683586545,1.0488829751663191,0.9986761253934293,0.0,0.0,0.0,1.0488829751663191
Memory,100,experiment0_100ms_run3.csv,100,0.9602763358230534,1.3340242119366013,1.7841968526739138,1.0115371489823801,0.09,0.08,0.03,1.7927461424789375
Memory,100,experiment0_100ms_run3.csv,100,1.0,1.0415371482065274,1.0500863351267256,1.0004760576680243,0.0,0.0,0.0,1.0500863351267256
Memory,10,experiment0_10ms_run4.csv,17,0.9606035755723723,1.3634707541652265,1.4495628589175784,1.020964691288281,0.11764705882352941,0.11764705882352941,0.0,1.4710858851056665
Memory,10,experiment0_10ms_run4.csv,100,1.0002694329297406,1.0366585216335051,1.0434017700486327,0.9984192724187213,0.0,0.0,0.0,1.0451091381888753
Memory,25,experiment0_25ms_run5.csv,41,0.9568965242038863,1.6896552120104418,1.7562068797980452,1.021909165773587,0.07317073170731707,0.07317073170731707,0.07317073170731707,1.784482715308226
