sample,phase,victim_latency_ms,recovery_index,time_since_interference_end_ms
88,recovery,0.592671990,88,55.490783691
89,recovery,0.594944000,89,56.091648102
90,recovery,0.592863977,90,56.691745758
91,recovery,0.588639975,91,57.288864136
92,recovery,0.589631975,92,57.882816315
93,recovery,0.589536011,93,58.477855682
94,recovery,0.587520003,94,59.071743011
95,recovery,0.596992016,95,59.664382935
96,recovery,0.595071971,96,60.427265167
97,recovery,0.621568024,97,61.028350830
98,recovery,0.609279990,98,61.659137726
99,recovery,0.594944000,99,62.273536682
